periodo,cp,pib_mex
1993/01,5022649,8045765
1993/02,5115388,8054718
1993/03,5139791,8061469
1993/04,5454009,8369708
1994/01,5176520,8301870
1994/02,5395625,8505143
1994/03,5405628,8453306
1994/04,5713477,8809228
1995/01,4910978,8210632
1995/02,4855294,7817381
1995/03,4897444,7867116
1995/04,5124771,8212461
1996/01,4987498,8345328
1996/02,5032104,8341360
1996/03,5131306,8408905
1996/04,5496806,8898243
1997/01,5171477,8708280
1997/02,5424583,9050661
1997/03,5464867,9075963
1997/04,5833901,9525885
1998/01,5576311,9422001
1998/02,5726029,9452294
1998/03,5787759,9486798
1998/04,6068880,9709322
1999/01,5768685,9634883
1999/02,5939988,9651310
1999/03,6101956,9750116
1999/04,6439098,10049450
2000/01,6167592,10158429
2000/02,6323421,10241667
2000/03,6447181,10313099
2000/04,6745387,10442732
2001/01,6328826,10166156
2001/02,6473671,10184473
2001/03,6540893,10205865
2001/04,6857460,10350236
2002/01,6346594,9937775
2002/02,6671344,10330191
2002/03,6651734,10238402
2002/04,6896498,10454325
2003/01,6467847,10254207
2003/02,6610149,10371648
2003/03,6702423,10279764
2003/04,7080047,10637808
2004/01,6796784,10684338
2004/02,6913723,10799644
2004/03,7112723,10703823
2004/04,7532313,11140211
2005/01,7058499,10842388
2005/02,7302926,11179683
2005/03,7409928,11067885
2005/04,7831669,11552014
2006/01,7466661,11468507
2006/02,7696736,11724725
2006/03,7822650,11665772
2006/04,8249813,12015683
2007/01,7743659,11803385
2007/02,7929225,12047119
2007/03,8042372,12034406
2007/04,8469546,12465498
2008/01,8000370,12057767
2008/02,8222045,12418268
2008/03,8254145,12225327
2008/04,8318780,12326091
2009/01,7367942,11427091
2009/02,7384454,11432371
2009/03,7716764,11666167
2009/04,8208141,12197369
2010/01,7710558,11849817
2010/02,7929808,12203092
2010/03,8133082,12300779
2010/04,8642231,12756948
2011/01,8076230,12377289
2011/02,8262335,12597236
2011/03,8637060,12814063
2011/04,8997125,13308383
2012/01,8679831,12977062
2012/02,8656804,13163211
2012/03,8931763,13226950
2012/04,9382909,13782913
2013/01,8836767,13110514
2013/02,8977913,13400159
2013/03,9168409,13438196
2013/04,9481522,13938242
2014/01,8984980,13374928
2014/02,9098598,13622317
2014/03,9369900,13736057
2014/04,9734100,14307437
2015/01,9270543,13716287
2015/02,9368218,13919135
