,Qgn,Pgn,Pe,PDV,CTgn,TDeu,PRpx,Qshgus,Qpx,secE,Memo,ITCr,IGAE
Ene/2002,18.44,10.43,9.88,12.08,13.63,10.56,18.40,10.39,17.20,16.87,17.99,14.24,14.41
Feb/2002,18.43,10.21,9.88,12.08,13.62,10.56,18.40,10.39,17.16,16.72,17.96,14.23,14.38
Mar/2002,18.46,10.34,9.90,12.08,13.65,10.56,18.39,10.39,17.17,16.76,17.97,14.19,14.41
Abr/2002,18.48,10.48,9.95,12.07,13.65,10.56,18.40,10.39,17.19,16.76,17.99,14.20,14.43
May/2002,18.49,10.54,10.02,12.08,13.71,10.56,18.40,10.39,17.16,16.80,17.98,14.25,14.45
Jun/2002,18.50,10.52,10.02,12.08,13.75,10.56,18.40,10.39,17.12,16.91,18.00,14.29,14.43
Jul/2002,18.52,10.55,9.98,12.08,13.78,10.56,18.39,10.39,17.15,16.93,17.99,14.31,14.43
Ago/2002,18.54,10.49,9.95,12.08,13.79,10.56,18.40,10.39,17.14,17.02,17.98,14.31,14.44
Sep/2002,18.51,10.54,9.95,12.09,13.76,10.56,18.38,10.39,17.16,17.02,17.95,14.33,14.41
Oct/2002,18.49,10.68,9.96,12.08,13.74,10.56,18.39,10.39,17.14,16.92,17.96,14.32,14.46
Nov/2002,18.46,10.68,9.94,12.08,13.64,10.22,18.38,10.39,17.16,16.75,17.97,14.33,14.44
Dic/2002,18.50,10.73,9.94,12.10,13.63,10.22,18.40,10.39,17.18,16.80,17.98,14.34,14.45
Ene/2003,18.53,10.82,9.94,12.10,13.65,10.22,18.40,10.50,17.18,16.84,18.01,14.40,14.43
Feb/2003,18.55,10.86,9.94,12.09,13.70,10.22,18.40,10.50,17.18,16.94,18.02,14.44,14.41
Mar/2003,18.48,11.26,9.93,12.09,13.60,10.22,18.40,10.50,17.13,16.82,18.02,14.44,14.45
Abr/2003,18.50,10.86,9.96,12.08,13.57,10.22,18.39,10.50,17.20,16.79,18.00,14.41,14.42
May/2003,18.56,10.92,10.03,12.08,13.66,10.22,18.40,10.50,17.19,17.02,17.99,14.40,14.45
Jun/2003,18.57,10.94,10.05,12.09,13.65,10.00,18.40,10.50,17.17,16.98,18.01,14.43,14.45
Jul/2003,18.61,10.93,10.07,12.08,13.66,10.00,18.43,10.50,17.20,17.00,18.03,14.41,14.45
Ago/2003,18.61,10.87,10.09,12.08,13.65,10.00,18.43,10.50,17.19,16.92,18.02,14.43,14.43
Sep/2003,18.61,10.88,10.10,12.08,13.65,10.00,18.42,10.50,17.20,16.84,18.02,14.45,14.42
Oct/2003,18.60,10.83,10.08,12.07,13.66,10.00,18.42,10.50,17.19,16.75,18.04,14.50,14.46
Nov/2003,18.60,10.78,10.03,12.07,13.69,10.00,18.42,10.50,17.19,16.73,18.00,14.48,14.45
Dic/2003,18.64,10.92,10.06,12.09,13.67,10.00,18.44,10.50,17.22,16.79,18.02,14.51,14.48
Ene/2004,18.61,11.12,10.07,12.09,13.64,10.00,18.44,10.59,17.22,16.70,18.04,14.49,14.46
Feb/2004,18.60,10.93,10.04,12.08,13.61,10.00,18.42,10.59,17.16,16.68,18.02,14.50,14.45
Mar/2004,18.63,10.91,10.03,12.08,13.63,10.00,18.42,10.59,17.20,16.70,18.04,14.48,14.50
Abr/2004,18.60,10.94,10.01,12.08,13.53,10.00,18.43,10.59,17.19,16.54,18.07,14.50,14.46
May/2004,18.64,11.14,10.06,12.09,13.63,10.00,18.43,10.59,17.20,16.71,18.06,14.52,14.49
Jun/2004,18.66,11.20,10.07,12.08,13.68,10.22,18.43,10.59,17.20,16.79,18.06,14.52,14.49
Jul/2004,18.66,11.14,10.09,12.08,13.65,10.22,18.43,10.59,17.19,16.84,18.05,14.53,14.48
Ago/2004,18.68,11.11,10.11,12.09,13.66,10.41,18.43,10.59,17.26,16.84,18.05,14.52,14.48
Sep/2004,18.70,10.91,10.11,12.08,13.64,10.56,18.43,10.59,17.33,16.84,18.06,14.52,14.47
Oct/2004,18.69,11.07,10.10,12.07,13.62,10.56,18.44,10.59,17.36,16.77,18.07,14.52,14.50
Nov/2004,18.68,11.20,10.08,12.07,13.57,10.69,18.43,10.59,17.36,16.67,18.07,14.53,14.52
Dic/2004,18.66,11.27,10.12,12.09,13.52,10.81,18.42,10.59,17.28,16.70,18.05,14.53,14.52
Ene/2005,18.68,11.04,10.11,12.09,13.49,10.83,18.44,10.74,17.28,16.75,18.06,14.53,14.49
Feb/2005,18.70,10.94,10.10,12.09,13.52,10.92,18.44,10.74,17.29,16.73,18.06,14.51,14.47
Mar/2005,18.65,11.07,10.09,12.08,13.43,10.97,18.45,10.74,17.27,16.69,18.05,14.52,14.50
Abr/2005,18.65,11.14,10.07,12.08,13.38,11.02,18.48,10.74,17.29,16.51,18.06,14.51,14.51
May/2005,18.69,11.15,10.13,12.08,13.42,11.10,18.49,10.74,17.29,16.66,18.06,14.49,14.52
Jun/2005,18.74,11.07,10.17,12.08,13.46,11.11,18.50,10.74,17.35,16.73,18.07,14.46,14.51
Jul/2005,18.68,11.16,10.21,12.07,13.36,11.18,18.45,10.74,17.29,16.65,17.99,14.44,14.49
Ago/2005,18.70,11.30,10.22,12.07,13.36,11.25,18.50,10.74,17.29,16.72,18.06,14.45,14.52
Sep/2005,18.68,11.42,10.21,12.06,13.31,11.29,18.50,10.74,17.32,16.57,18.05,14.46,14.50
Oct/2005,18.66,11.51,10.20,12.06,13.32,11.32,18.49,10.74,17.28,16.60,18.07,14.45,14.53
Nov/2005,18.68,11.35,10.14,12.05,13.35,11.39,18.50,10.74,17.32,16.42,18.05,14.41,14.55
Dic/2005,18.67,11.30,10.13,12.07,13.31,11.43,18.52,10.74,17.36,16.54,18.05,14.40,14.56
Ene/2006,18.70,11.19,10.11,12.06,13.33,11.46,18.53,10.99,17.38,16.43,18.09,14.41,14.54
Feb/2006,18.71,10.99,10.07,12.05,13.27,11.50,18.53,10.99,17.34,16.53,18.10,14.39,14.51
Mar/2006,18.76,11.01,10.07,12.05,13.31,11.52,18.55,10.99,17.36,16.73,18.10,14.42,14.57
Abr/2006,18.77,11.03,10.09,12.05,13.35,11.56,18.57,10.99,17.39,16.84,18.12,14.46,14.53
May/2006,18.82,11.10,10.12,12.05,13.46,11.60,18.57,10.99,17.37,16.89,18.13,14.50,14.59
Jun/2006,18.82,10.92,10.14,12.04,13.48,11.61,18.57,10.99,17.31,16.90,18.14,14.52,14.58
Jul/2006,18.84,10.95,10.16,12.04,13.50,11.66,18.58,10.99,17.37,16.94,18.20,14.48,14.55
Ago/2006,18.84,11.10,10.18,12.04,13.44,11.66,18.62,10.99,17.40,16.93,18.20,14.47,14.57
Sep/2006,18.81,10.94,10.19,12.03,13.32,11.66,18.63,10.99,17.35,16.68,18.19,14.47,14.55
Oct/2006,18.80,10.64,10.18,12.02,13.34,11.66,18.62,10.99,17.35,16.79,18.18,14.45,14.59
Nov/2006,18.75,11.00,10.16,12.02,13.27,11.66,18.62,10.99,17.31,16.67,18.12,14.45,14.59
Dic/2006,18.79,11.03,10.17,12.04,13.36,11.66,18.63,10.99,17.45,16.69,18.14,14.46,14.59
Ene/2007,18.84,10.82,10.17,12.04,13.36,11.66,18.65,11.37,17.49,16.65,18.20,14.45,14.57
Feb/2007,18.82,10.92,10.19,12.03,13.32,11.66,18.67,11.40,17.50,16.73,18.20,14.46,14.54
Mar/2007,18.84,11.03,10.22,12.02,13.38,11.66,18.68,11.44,17.46,16.69,18.20,14.48,14.60
Abr/2007,18.81,11.01,10.29,12.02,13.34,11.66,18.69,11.51,17.49,16.61,18.21,14.48,14.56
May/2007,18.88,11.14,10.35,12.02,13.33,11.66,18.69,11.54,17.55,16.76,18.19,14.48,14.61
Jun/2007,18.90,11.10,10.38,12.01,13.35,11.66,18.73,11.56,17.54,16.92,18.21,14.47,14.60
Jul/2007,18.88,11.01,10.41,12.01,13.43,11.66,18.74,11.60,17.53,16.91,18.17,14.48,14.59
Ago/2007,18.86,10.89,10.44,12.00,13.45,11.61,18.69,11.64,17.41,16.93,18.13,14.50,14.60
Sep/2007,18.84,10.81,10.47,12.00,13.31,11.60,18.72,11.67,17.48,16.87,18.12,14.51,14.57
Oct/2007,18.86,10.96,10.45,11.99,13.42,11.56,18.76,11.70,17.44,16.97,18.15,14.50,14.63
Nov/2007,18.81,10.89,10.41,11.98,13.37,11.50,18.71,11.73,17.29,16.98,18.15,14.51,14.62
Dic/2007,18.85,10.98,10.38,12.00,13.34,11.44,18.77,11.76,17.45,16.91,18.17,14.51,14.62
Ene/2008,18.91,11.03,10.16,11.99,12.59,11.37,18.78,11.79,17.51,16.88,18.13,14.52,14.60
Feb/2008,18.93,11.08,10.10,11.99,12.57,11.09,18.79,11.82,17.57,16.89,18.13,14.51,14.58
Mar/2008,18.88,11.22,10.05,11.98,12.54,10.96,18.81,11.85,17.56,16.88,18.16,14.53,14.58
Abr/2008,18.89,11.25,10.10,11.98,12.52,10.82,18.81,11.88,17.54,16.88,18.14,14.52,14.62
May/2008,18.87,11.43,10.09,11.98,12.48,10.68,18.83,11.91,17.53,16.82,18.17,14.51,14.62
Jun/2008,18.89,11.47,10.06,11.98,12.50,10.69,18.86,11.94,17.56,16.99,18.15,14.50,14.62
Jul/2008,18.90,11.54,10.07,11.97,12.46,10.70,18.84,11.97,17.59,16.95,18.16,14.49,14.62
Ago/2008,18.90,11.19,10.16,11.97,12.43,10.69,18.85,12.00,17.60,16.80,18.15,14.45,14.60
Sep/2008,18.84,11.04,10.12,11.96,12.39,10.59,18.86,12.02,17.48,16.75,18.15,14.47,14.59
Oct/2008,18.86,10.96,10.13,11.95,12.42,9.97,18.88,12.06,17.51,16.81,18.17,14.60,14.63
Nov/2008,18.85,10.92,10.17,11.94,12.42,9.06,18.89,12.08,17.47,16.83,18.13,14.60,14.61
Dic/2008,18.86,10.99,10.23,11.97,12.37,8.17,18.90,12.12,17.57,16.72,18.15,14.64,14.60
Ene/2009,18.89,10.87,10.17,11.96,12.36,8.10,18.87,12.14,17.68,16.71,18.15,14.66,14.54
Feb/2009,18.87,10.55,10.25,11.95,12.40,8.49,18.85,12.16,17.55,16.76,18.15,14.69,14.51
